,country,belief_in_cc_mean,policy_support_mean,share_sm_rate,mean_wept,best_intv_bcc,best_intv_policy,best_intv_share,best_intv_wept
0,algeria,79.86,75.22,71.72,55.56,Identity-Social-Norms-Intervention,CollectAction,FutureSelfCont,Control
1,armenia,84.57,69.76,32.41,42.86,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont
2,australia,76.19,70.07,44.87,68.76,PsychDistance,PsychDistance,SystemJust,PluralIgnorance
3,austria,76.33,66.69,26.65,48.58,SciConsens,DynamicNorm,DynamicNorm,PsychDistance
4,belgium,74.78,65.8,34.14,62.88,PluralIgnorance,FutureSelfCont,CollectAction,DynamicNorm
5,brazil,87.64,78.65,71.86,65.49,SciConsens,Letter2Future,SystemJust,Control
6,bulgaria,79.59,72.17,62.9,62.55,CollectAction,CollectAction,CollectAction,BindingMoral
7,canada,84.71,70.85,35.63,57.75,PsychDistance,CollectAction,PsychDistance,NegativeEmotions
8,chile,87.8,78.5,73.36,75.4,SciConsens,FutureSelfCont,FutureSelfCont,DynamicNorm
9,china,85.44,75.89,80.27,69.98,PsychDistance,CollectAction,SystemJust,BindingMoral
10,czechia,83.87,67.97,18.86,64.51,NegativeEmotions,NegativeEmotions,Letter2Future,Letter2Future
11,denmark,75.5,68.78,51.01,61.6,SciConsens,PsychDistance,NegativeEmotions,SystemJust
12,ecuador,85.72,73.38,88.93,55.23,PsychDistance,PsychDistance,NegativeEmotions,SystemJust
13,finland,73.84,62.84,34.74,44.68,PsychDistance,SystemJust,PsychDistance,PluralIgnorance
14,france,81.57,69.56,64.24,63.95,CollectAction,CollectAction,Letter2Future,SystemJust
15,gambia,87.44,76.53,88.02,48.08,Control,Control,CollectAction,PluralIgnorance
16,germany,77.09,66.07,31.41,57.28,NegativeEmotions,CollectAction,FutureSelfCont,BindingMoral
17,ghana,89.21,77.56,84.04,62.33,PsychDistance,BindingMoral,Identity-Social-Norms-Intervention,SciConsens
18,greece,76.37,69.36,66.07,62.88,FutureSelfCont,FutureSelfCont,Letter2Future,PluralIgnorance
19,india,86.85,77.94,79.84,33.12,NegativeEmotions,SystemJust,NegativeEmotions,Letter2Future
20,ireland,81.54,71.7,64.85,37.27,PsychDistance,PluralIgnorance,NegativeEmotions,DynamicNorm
21,israel,69.2,66.98,32.48,57.18,CollectAction,CollectAction,BindingMoral,SciConsens
22,italy,88.07,73.12,56.8,71.65,PsychDistance,PsychDistance,PsychDistance,PluralIgnorance
23,japan,74.98,58.51,23.43,62.15,FutureSelfCont,Letter2Future,CollectAction,Control
24,kenya,88.23,73.48,93.43,67.11,Letter2Future,CollectAction,BindingMoral,BindingMoral
25,latvia,68.47,62.17,16.58,55.1,FutureSelfCont,Letter2Future,SystemJust,DynamicNorm
26,mexico,89.03,76.03,90.98,66.15,FutureSelfCont,CollectAction,NegativeEmotions,DynamicNorm
27,morocco,79.77,74.55,77.33,53.48,Letter2Future,FutureSelfCont,Identity-Social-Norms-Intervention,Control
28,netherlands,75.37,69.11,19.8,51.81,DynamicNorm,Letter2Future,Letter2Future,Control
29,newzealand,74.04,65.65,37.32,62.2,PsychDistance,FutureSelfCont,SciConsens,SciConsens
30,nigeria,86.98,76.73,85.6,67.55,PsychDistance,Letter2Future,Letter2Future,FutureSelfCont
31,northmacedonia,84.31,71.92,27.74,47.84,BindingMoral,DynamicNorm,CollectAction,SciConsens
32,norway,71.28,65.19,18.39,69.09,Letter2Future,Letter2Future,Control,BindingMoral
33,peru,86.14,71.49,80.45,57.25,SystemJust,DynamicNorm,NegativeEmotions,Identity-Social-Norms-Intervention
34,philippines,95.32,77.33,64.52,72.24,Identity-Social-Norms-Intervention,CollectAction,BindingMoral,Control
35,poland,78.08,68.77,35.24,69.26,DynamicNorm,CollectAction,PsychDistance,SystemJust
36,portugal,92.41,75.34,35.37,56.91,PsychDistance,PsychDistance,NegativeEmotions,CollectAction
37,romania,80.42,70.55,17.81,65.6,SciConsens,SciConsens,Letter2Future,CollectAction
38,russia,75.43,64.56,25.71,55.55,NegativeEmotions,CollectAction,NegativeEmotions,SciConsens
39,saudiarabia,69.76,62.73,81.32,70.07,DynamicNorm,Control,BindingMoral,DynamicNorm
40,serbia,86.32,75.1,24.43,74.74,DynamicNorm,FutureSelfCont,Identity-Social-Norms-Intervention,CollectAction
41,singapore,81.02,71.17,69.27,49.5,PsychDistance,SciConsens,Control,BindingMoral
42,slovakia,75.07,63.34,30.3,76.05,Control,CollectAction,NegativeEmotions,Letter2Future
43,slovenia,75.71,68.52,53.39,44.44,PsychDistance,BindingMoral,PluralIgnorance,Control
44,southafrica,84.51,72.85,77.09,59.65,CollectAction,CollectAction,CollectAction,SciConsens
45,southkorea,82.46,71.57,77.94,69.93,PsychDistance,CollectAction,CollectAction,PluralIgnorance
