,country,belief_cc_mean,belief_cc_std,policy_support_mean,policy_support_std,share_social_media_mean,share_social_media_entropy,wept_mean,wept_std,best_intv_belief_cc,best_intv_policy_support,best_intv_share_social_media,best_intv_wept,alpha3
0,algeria,79.86,21.83,75.22,15.92,71.72,85.92,55.56,43.28,Identity-Social-Norms-Intervention,CollectAction,FutureSelfCont,CollectAction,DZA
1,armenia,84.57,18.67,69.76,17.03,32.41,90.88,42.86,41.74,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont,ARM
2,australia,76.19,25.62,70.07,19.98,44.87,99.24,68.76,41.92,PsychDistance,PsychDistance,SystemJust,PluralIgnorance,AUS
3,austria,76.33,24.61,66.69,20.07,26.65,83.64,48.58,43.95,SciConsens,DynamicNorm,DynamicNorm,PsychDistance,AUT
4,belgium,74.78,23.72,65.8,18.57,34.14,92.61,62.88,43.32,PluralIgnorance,FutureSelfCont,CollectAction,DynamicNorm,BEL
5,brazil,87.64,18.89,78.65,17.27,71.86,85.74,65.49,42.3,SciConsens,Letter2Future,SystemJust,Letter2Future,BRA
6,bulgaria,79.59,23.89,72.17,19.47,62.9,95.15,62.55,42.61,CollectAction,CollectAction,CollectAction,BindingMoral,BGR
7,canada,84.71,20.41,70.85,17.41,35.63,93.96,57.75,42.18,PsychDistance,CollectAction,PsychDistance,NegativeEmotions,CAN
8,chile,87.8,19.03,78.5,16.63,73.36,83.62,75.4,38.2,SciConsens,FutureSelfCont,FutureSelfCont,DynamicNorm,CHL
9,china,85.44,11.89,75.89,12.4,80.27,71.65,69.98,38.72,PsychDistance,CollectAction,SystemJust,BindingMoral,CHN
10,czechia,83.87,22.05,67.97,17.49,18.86,69.86,64.51,40.71,NegativeEmotions,NegativeEmotions,Letter2Future,Letter2Future,CZE
11,denmark,75.5,24.46,68.78,20.68,51.01,99.97,61.6,44.78,SciConsens,PsychDistance,NegativeEmotions,SystemJust,DNK
12,ecuador,85.72,20.25,73.38,17.85,88.93,50.2,55.23,42.56,PsychDistance,PsychDistance,NegativeEmotions,SystemJust,ECU
13,finland,73.84,25.47,62.84,20.66,34.74,93.17,44.68,43.77,PsychDistance,SystemJust,PsychDistance,PluralIgnorance,FIN
14,france,81.57,20.18,69.56,17.32,64.24,94.07,63.95,43.1,CollectAction,CollectAction,Letter2Future,SystemJust,FRA
15,gambia,87.44,17.47,76.53,16.83,88.02,52.88,48.08,43.4,NegativeEmotions,CollectAction,CollectAction,PluralIgnorance,GMB
16,germany,77.09,25.69,66.07,21.31,31.41,89.78,57.28,44.38,NegativeEmotions,CollectAction,FutureSelfCont,BindingMoral,DEU
17,ghana,89.21,15.38,77.56,15.25,84.04,63.32,62.33,43.0,PsychDistance,BindingMoral,SciConsens,SciConsens,GHA
18,greece,76.37,24.47,69.36,17.41,66.07,92.42,62.88,42.64,FutureSelfCont,FutureSelfCont,Letter2Future,PluralIgnorance,GRC
19,india,86.85,13.2,77.94,12.05,79.84,72.52,33.12,40.63,NegativeEmotions,SystemJust,NegativeEmotions,Letter2Future,IND
20,ireland,81.54,21.59,71.7,17.24,64.85,93.54,37.27,41.64,PsychDistance,PluralIgnorance,PsychDistance,DynamicNorm,IRL
21,israel,69.2,28.23,66.98,18.99,32.48,90.95,57.18,41.98,CollectAction,CollectAction,BindingMoral,SciConsens,ISR
22,italy,88.07,17.25,73.12,15.78,56.8,98.66,71.65,38.39,PsychDistance,PsychDistance,PsychDistance,PluralIgnorance,ITA
23,japan,74.98,22.64,58.51,17.02,23.43,78.54,62.15,43.95,FutureSelfCont,Letter2Future,CollectAction,SciConsens,JPN
24,kenya,88.23,14.89,73.48,17.04,93.43,34.97,67.11,39.69,Letter2Future,CollectAction,BindingMoral,BindingMoral,KEN
25,latvia,68.47,30.41,62.17,21.38,16.58,64.81,55.1,40.13,FutureSelfCont,Letter2Future,SystemJust,DynamicNorm,LVA
26,mexico,89.03,14.6,76.03,16.18,90.98,43.73,66.15,42.26,FutureSelfCont,CollectAction,SciConsens,DynamicNorm,MEX
27,morocco,79.77,22.14,74.55,18.35,77.33,77.22,53.48,43.63,Letter2Future,FutureSelfCont,Identity-Social-Norms-Intervention,PluralIgnorance,MAR
28,netherlands,75.37,24.74,69.11,19.39,19.8,71.8,51.81,42.51,DynamicNorm,Letter2Future,Letter2Future,BindingMoral,NLD
29,newzealand,74.04,26.03,65.65,20.02,37.32,95.31,62.2,43.39,PsychDistance,FutureSelfCont,SciConsens,SciConsens,NZL
30,nigeria,86.98,16.09,76.73,15.74,85.6,59.45,67.55,41.7,PsychDistance,Letter2Future,Letter2Future,FutureSelfCont,NGA
31,northmacedonia,84.31,20.39,71.92,16.57,27.74,85.19,47.84,42.17,BindingMoral,DynamicNorm,CollectAction,SciConsens,MKD
32,norway,71.28,27.27,65.19,20.5,18.39,68.86,69.09,41.83,Letter2Future,Letter2Future,Letter2Future,BindingMoral,NOR
33,peru,86.14,18.52,71.49,17.41,80.45,71.29,57.25,41.99,SystemJust,DynamicNorm,NegativeEmotions,Identity-Social-Norms-Intervention,PER
34,philippines,95.32,8.39,77.33,16.6,64.52,93.83,72.24,39.1,Identity-Social-Norms-Intervention,CollectAction,BindingMoral,DynamicNorm,PHL
35,poland,78.08,24.64,68.77,19.05,35.24,93.62,69.26,40.71,DynamicNorm,CollectAction,PsychDistance,SystemJust,POL
36,portugal,92.41,11.82,75.34,12.98,35.37,93.73,56.91,40.24,PsychDistance,PsychDistance,NegativeEmotions,CollectAction,PRT
37,romania,80.42,26.9,70.55,19.16,17.81,67.6,65.6,42.0,SciConsens,SciConsens,Letter2Future,CollectAction,ROU
38,russia,75.43,23.57,64.56,17.94,25.71,82.23,55.55,43.09,NegativeEmotions,CollectAction,NegativeEmotions,SciConsens,RUS
39,saudiarabia,69.76,25.31,62.73,21.17,81.32,69.48,70.07,40.89,DynamicNorm,Identity-Social-Norms-Intervention,BindingMoral,DynamicNorm,SAU
40,serbia,86.32,21.83,75.1,16.46,24.43,80.21,74.74,37.12,DynamicNorm,FutureSelfCont,Identity-Social-Norms-Intervention,CollectAction,SRB
41,singapore,81.02,16.87,71.17,15.71,69.27,89.01,49.5,44.76,PsychDistance,SciConsens,SystemJust,BindingMoral,SGP
42,slovakia,75.07,25.35,63.34,18.75,30.3,88.5,76.05,38.79,CollectAction,CollectAction,NegativeEmotions,Letter2Future,SVK
43,slovenia,75.71,23.2,68.52,17.23,53.39,99.67,44.44,42.17,PsychDistance,BindingMoral,PluralIgnorance,DynamicNorm,SVN
44,southafrica,84.51,20.55,72.85,18.28,77.09,77.64,59.65,43.83,CollectAction,CollectAction,CollectAction,SciConsens,ZAF
45,South Korea,82.46,18.35,71.57,15.87,77.94,76.12,69.93,41.32,PsychDistance,CollectAction,CollectAction,PluralIgnorance,KOR
46,spain,82.94,23.58,74.39,19.48,53.9,99.56,67.95,40.37,CollectAction,CollectAction,CollectAction,FutureSelfCont,ESP
47,srilanka,85.46,15.17,78.58,12.77,64.13,94.16,57.08,43.07,Letter2Future,Letter2Future,NegativeEmotions,SystemJust,LKA
48,sudan,76.94,18.18,74.01,15.57,66.9,91.6,48.35,44.0,NegativeEmotions,NegativeEmotions,DynamicNorm,CollectAction,SDN
49,sweden,73.92,25.43,64.71,20.48,52.71,99.79,51.79,44.29,PsychDistance,PsychDistance,DynamicNorm,SciConsens,SWE
50,switzerland,79.17,23.06,68.19,19.62,25.77,82.33,61.37,42.71,CollectAction,PsychDistance,Identity-Social-Norms-Intervention,SciConsens,CHE
