alpha3,belief_cc_mean,belief_cc_std,policy_support_mean,policy_support_std,wept_mean,wept_std,share_social_media_mean,share_social_media_entropy,alpha2,country_standard,country,best_intv_belief_cc,best_intv_policy_support,best_intv_share_social_media,best_intv_wept,belief_cc_mean_rank,belief_cc_std_rank,policy_support_mean_rank,policy_support_std_rank,wept_mean_rank,wept_std_rank,share_social_media_mean_rank,share_social_media_entropy_rank
ARE,32.1778173482901,62.0958411071839,47.26255390751,61.9916180927877,94.8569194761476,66.2905445762313,85.1539377280694,50.7570583966263,AE,United Arab Emirates,unitedarabemirates,CollectAction,CollectAction,BindingMoral,NegativeEmotions,43,29,43,25,5,55,10,52
ARM,59.9777437715582,46.7202996766774,49.9483982496289,52.9720676464184,46.4999183430389,81.4129886300587,20.5946187404746,86.0117201989019,AM,Armenia,armenia,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont,23,42,40,41,60,40,50,26
AUS,28.7688805861447,78.2761048666536,51.3122431499502,72.5485814397169,88.2470036272836,82.4911095802927,36.8115720413757,98.8758038790424,AU,Australia,australia,PsychDistance,PsychDistance,SystemJust,PluralIgnorance,48,8,39,12,14,37,41,7
AUT,29.2654204135561,73.6986547356267,36.3088651566248,73.094292074832,55.721147088522,94.9540828017136,13.0958200596905,74.8695283799411,AT,Austria,austria,SciConsens,DynamicNorm,DynamicNorm,PsychDistance,47,16,51,10,54,7,54,34
BEL,23.4839525966775,69.6530912275856,32.3411938541545,63.2083803149149,78.7751588108256,91.0959651300144,22.8407222244788,88.6779156849568,BE,Belgium,belgium,PluralIgnorance,FutureSelfCont,CollectAction,DynamicNorm,55,20,53,24,24,14,47,20
BGR,41.42663442753,70.3986572858124,60.6532637059813,69.1142914019292,78.2386064092694,86.7430513874904,60.2659510006346,92.579494739765,BG,Bulgaria,bulgaria,CollectAction,CollectAction,CollectAction,BindingMoral,38,19,29,17,26,23,32,11
BRA,71.3970385935523,47.6832580188852,89.4352692562503,54.5674622606144,82.9870624645439,84.8685787926751,71.9259124211306,78.108759155653,BR,Brazil,brazil,SciConsens,Letter2Future,SystemJust,Control,12,41,3,36,20,28,21,32
CAN,60.4909823330727,54.5823113970812,54.7691636659087,55.4820411937083,70.5064090342418,84.1393154225939,24.782362388109,90.7453715135398,CA,Canada,canada,PsychDistance,CollectAction,PsychDistance,NegativeEmotions,22,36,37,33,37,31,43,14
CHE,39.8703544707058,66.6539157599161,42.9838115995719,70.1219033033722,76.3447432840429,87.3786837679658,11.9559069582691,72.8569278067389,CH,Switzerland,switzerland,CollectAction,PsychDistance,Identity-Social-Norms-Intervention,Control,39,25,48,14,33,21,55,36
CHL,71.9810402585283,48.3243655454311,88.7322304336607,50.3004239150326,98.9599640987877,59.7606112888099,73.8846429980086,74.8516726134594,CL,Chile,chile,SciConsens,FutureSelfCont,FutureSelfCont,DynamicNorm,9,40,6,45,2,60,20,35
CHN,63.2218139489025,15.8866876879275,77.1653162510581,22.2873082802573,90.2158887989139,62.9504265642829,82.8790902692502,56.4214416622411,CN,China,china,PsychDistance,CollectAction,SystemJust,BindingMoral,21,60,17,61,9,58,13,47
