alpha3,belief_cc_mean,belief_cc_std,policy_support_mean,policy_support_std,wept_mean,wept_std,share_social_media_mean,share_social_media_entropy,alpha2,country_standard,country,best_intv_bcc,best_intv_policy,best_intv_share,best_intv_wept,belief_cc_mean_rank,belief_cc_std_rank,policy_support_mean_rank,policy_support_std_rank,wept_mean_rank,wept_std_rank,share_social_media_mean_rank,share_social_media_entropy_rank
ARE,77.10985533453888,22.06017949936608,69.15644194271911,18.39016175435373,5.828519855595668,3.141252496160117,0.8202020202020202,0.6796349013645662,AE,United Arab Emirates,unitedarabemirates,CollectAction,CollectAction,BindingMoral,NegativeEmotions,43.0,29.0,43.0,25.0,5.0,55.0,10.0,52.0
ARM,84.57295918367348,18.674764760863418,69.7613513162593,17.028982311051465,3.428861788617886,3.3391189255223153,0.32409972299168976,0.9087841610794076,AM,Armenia,armenia,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont,23.0,42.0,40.0,41.0,60.0,40.0,50.0,26.0
AUS,76.19470006816633,25.622779467097057,70.06851824746292,19.983358840725153,5.500510725229827,3.3532253716816847,0.44871794871794873,0.9923985003332222,AU,Australia,australia,PsychDistance,PsychDistance,SystemJust,PluralIgnorance,48.0,8.0,39.0,12.0,14.0,37.0,41.0,7.0
AUT,76.328,24.614908153531953,66.68943784410315,20.065714397460148,3.8864541832669324,3.516294515914036,0.2664756446991404,0.8363618238226984,AT,Austria,austria,SciConsens,DynamicNorm,DynamicNorm,PsychDistance,47.0,16.0,51.0,10.0,54.0,7.0,54.0,34.0
BEL,74.77592054263566,23.724148606131767,65.79583372700932,18.573788614028658,5.030481809242871,3.46581378905262,0.3413597733711048,0.9261139748019467,BE,Belgium,belgium,PluralIgnorance,FutureSelfCont,CollectAction,DynamicNorm,55.0,20.0,53.0,24.0,24.0,14.0,47.0,20.0
BGR,79.59277134277134,23.888308699840106,72.17231510723059,19.46507524892418,5.0038560411311055,3.4088590073725458,0.6289517470881864,0.9514735699993828,BG,Bulgaria,bulgaria,CollectAction,CollectAction,CollectAction,BindingMoral,38.0,19.0,29.0,17.0,26.0,23.0,32.0,11.0
BRA,87.63855661881978,18.886790683918463,78.65463601973264,17.26975022578417,5.23949246629659,3.3843328660984753,0.718552036199095,0.8574162687203088,BR,Brazil,brazil,SciConsens,Letter2Future,SystemJust,Control,12.0,41.0,3.0,36.0,20.0,28.0,21.0,32.0
CAN,84.71074201898188,20.405836832233,70.84709040478937,17.407773295825965,4.62015503875969,3.3747909733601715,0.35628019323671495,0.9395520833638713,CA,Canada,canada,PsychDistance,CollectAction,PsychDistance,NegativeEmotions,22.0,36.0,37.0,33.0,37.0,31.0,43.0,14.0
CHE,79.17497603068072,23.063784684802894,68.19277800715662,19.61713832736984,4.9098753595397895,3.4171758051774503,0.25771604938271603,0.8232802650195676,CH,Switzerland,switzerland,CollectAction,PsychDistance,Identity-Social-Norms-Intervention,Control,39.0,25.0,48.0,14.0,33.0,21.0,55.0,36.0
CHL,87.79533635296092,19.027950907715685,78.49629669713003,16.625792978211305,6.032128514056225,3.0558129614555107,0.7336037863421231,0.8362457644007172,CL,Chile,chile,SciConsens,FutureSelfCont,FutureSelfCont,DynamicNorm,9.0,40.0,6.0,45.0,2.0,60.0,20.0,35.0
CHN,85.44385474860336,11.885763870080003,75.89118116520352,12.39821230535695,5.598214285714286,3.097549426582198,0.8027210884353742,0.7164524218200592,CN,China,china,PsychDistance,CollectAction,SystemJust,BindingMoral,21.0,60.0,17.0,61.0,9.0,58.0,13.0,47.0
CZE,83.87202925045703,22.050237846745425,67.97128130350251,17.49364063718209,5.160877513711152,3.256957269773553,0.18863636363636363,0.6986101065696975,CZ,Czechia,czechia,NegativeEmotions,NegativeEmotions,Letter2Future,Letter2Future,27.0,30.0,49.0,31.0,22.0,46.0,60.0,49.0
DEU,77.08517196625567,25.68862321688045,66.06997345702464,21.305005567192907,4.58252427184466,3.550316354157519,0.3140578265204387,0.897802124882334,DE,Germany,germany,NegativeEmotions,CollectAction,FutureSelfCont,BindingMoral,44.0,7.0,52.0,4.0,40.0,3.0,51.0,28.0
DNK,75.50031565656566,24.461363984168475,68.78407561840302,20.677638563123814,4.928030303030303,3.582316755132012,0.51010101010101,0.9997055824529295,DK,Denmark,denmark,SciConsens,PsychDistance,NegativeEmotions,SystemJust,50.0,18.0,45.0,6.0,32.0,1.0,39.0,1.0
DZA,79.85788973384031,21.831413136540064,75.22309645441828,15.917510450810386,4.445075757575758,3.4625694896320485,0.7172413793103448,0.859182449490693,DZ,Algeria,algeria,Identity-Social-Norms-Intervention,CollectAction,FutureSelfCont,Control,36.0,31.0,19.0,50.0,45.0,15.0,22.0,31.0
