share_sm,age,gender,education_level,income_level,cond,ResponseId,country,finished,condName,belief_in_cc,policy_support,wept,country_standard,alpha2,alpha3,share_sm_jittered
1.0,35.0,2.0,3.0,5.0,5,R_1r7Yr7R1xMimIvj,usa,1,CollectAction,88.5,89.0,1.0,United States,US,USA,0.8427938386266063
0.0,39.0,1.0,3.0,4.0,1,R_2ATgV5VxewrTRiI,usa,1,Control,50.25,66.22222222222223,0.0,United States,US,USA,0.31296239642689083
1.0,55.0,1.0,3.0,5.0,9,R_3ENlePBlLyYjExr,usa,1,Letter2Future,84.0,84.22222222222223,1.0,United States,US,USA,0.986951252786579
0.0,66.0,1.0,3.0,5.0,4,R_2c0HQgvYzas6mus,usa,1,SciConsens,0.5,1.2222222222222223,0.0,United States,US,USA,0.18944990062823744
0.0,53.0,2.0,3.0,5.0,8,R_00siryCwgdMus6J,usa,1,PluralIgnorance,57.5,80.22222222222223,0.0,United States,US,USA,0.15593194837721572
1.0,58.0,1.0,3.0,4.0,10,R_2D03tk9lZr1rzz0,usa,1,DynamicNorm,80.5,66.66666666666667,1.0,United States,US,USA,0.829011046265675
1.0,41.0,1.0,2.0,4.0,7,R_3IcSuCkioYRU1gT,usa,1,PsychDistance,56.5,58.888888888888886,1.0,United States,US,USA,0.8451052391156285
1.0,47.0,2.0,2.0,2.0,6,R_86ZtSqIEAak8Lx7,usa,1,SystemJust,42.75,51.8,8.0,United States,US,USA,1.1162688672204508
0.0,65.0,1.0,3.0,5.0,10,R_xobUXkf1dtgYl7X,usa,1,DynamicNorm,11.5,34.875,8.0,United States,US,USA,-0.016402428427076437
1.0,71.0,2.0,3.0,6.0,11,R_r9GWyx9G2dqeBbP,usa,1,FutureSelfCont,100.0,97.88888888888889,8.0,United States,US,USA,1.3302342290279836
0.0,51.0,1.0,3.0,6.0,4,R_8pIR1C9Xvfy1DH3,usa,1,SciConsens,5.5,6.111111111111111,7.0,United States,US,USA,-0.05999748277799749
0.0,51.0,2.0,2.0,7.0,2,R_9F7jDzxsnHtdNAZ,usa,1,Identity-Social-Norms-Intervention,22.0,31.33333333333333,1.0,United States,US,USA,0.11397318911230149
1.0,51.0,2.0,3.0,6.0,2,R_vUBIA8xVd6dJU0V,usa,1,Identity-Social-Norms-Intervention,58.5,85.88888888888889,3.0,United States,US,USA,0.8861582481728408
1.0,34.0,1.0,3.0,4.0,7,R_3qO1pxPfoEf8bDY,usa,1,PsychDistance,80.75,86.875,1.0,United States,US,USA,1.03964694134059
0.0,55.0,2.0,3.0,5.0,9,R_1ON6Qzrl2MOpwH2,usa,1,Letter2Future,59.5,59.333333333333336,8.0,United States,US,USA,0.07699505627757902
1.0,63.0,2.0,3.0,5.0,5,R_1lgvCWuU46Ixw7q,usa,1,CollectAction,27.75,38.55555555555556,0.0,United States,US,USA,1.0977830360961098
