age,gender,education,income,perc_ses,sp_ideology,econ_ideology,country,country_code,intervention,belief_cc,policy_support,share_social_media,wept
44,male,0 to 6,100K to 150K,40-50%,61,34,Algeria,DZA,control,22,48,0,3
63,male,7 to 12,15K to 25K,60-70%,46,48,Algeria,DZA,control,37,41,0,2
29,female,7 to 12,10K to 15K,90-100%,46,47,Algeria,DZA,control,40,49,0,3
20,male,0 to 6,50K to 100K,10-20%,59,37,Algeria,DZA,control,37,44,0,2
45,male,7 to 12,15K to 25K,60-70%,43,33,Algeria,DZA,control,37,46,0,2
37,nonbinary or other,7 to 12,15K to 25K,0-10%,46,40,Algeria,DZA,control,37,44,0,3
66,male,13 to 16,more than 200K,10-20%,59,65,Algeria,DZA,control,26,41,0,2
39,male,7 to 12,150K to 200K,20-30%,59,76,Algeria,DZA,control,30,43,0,2
24,female,7 to 12,100K to 150K,60-70%,42,28,Algeria,DZA,control,39,51,1,3
25,female,7 to 12,25K to 50K,10-20%,61,60,Algeria,DZA,control,30,48,0,3
24,male,0 to 6,25K to 50K,70-80%,54,55,Algeria,DZA,control,36,50,0,3
65,male,7 to 12,25K to 50K,40-50%,59,46,Algeria,DZA,control,37,52,0,2
67,female,7 to 12,150K to 200K,70-80%,18,48,Algeria,DZA,control,49,54,0,3
35,male,0 to 6,15K to 25K,50-60%,67,59,Algeria,DZA,control,19,41,0,2
40,male,17 or more,25K to 50K,80-90%,42,41,Algeria,DZA,control,36,62,1,3
48,male,7 to 12,50K to 100K,0-10%,55,67,Algeria,DZA,control,26,52,0,2
59,male,0 to 6,10K to 15K,30-40%,62,35,Algeria,DZA,control,25,31,0,2
20,female,7 to 12,15K to 25K,20-30%,52,55,Algeria,DZA,control,47,44,0,4
39,male,13 to 16,100K to 150K,40-50%,42,41,Algeria,DZA,control,37,51,0,3
26,female,13 to 16,15K to 25K,30-40%,24,32,Algeria,DZA,control,39,49,0,3
42,male,13 to 16,50K to 100K,80-90%,42,50,Algeria,DZA,control,47,55,0,4
30,female,7 to 12,10K to 15K,30-40%,57,44,Algeria,DZA,control,32,45,0,3
18,female,7 to 12,50K to 100K,30-40%,51,45,Algeria,DZA,control,41,56,0,4
32,female,7 to 12,10K to 15K,40-50%,84,50,Algeria,DZA,control,34,47,0,4
23,male,7 to 12,less than 10K,40-50%,70,35,Algeria,DZA,control,28,57,0,3
55,female,13 to 16,50K to 100K,30-40%,70,84,Algeria,DZA,control,40,53,0,3
24,nonbinary or other,13 to 16,150K to 200K,60-70%,45,39,Algeria,DZA,control,49,58,0,3
53,male,0 to 6,25K to 50K,70-80%,43,68,Algeria,DZA,control,35,50,0,1
42,female,7 to 12,100K to 150K,30-40%,62,66,Algeria,DZA,control,37,52,0,3
62,female,7 to 12,25K to 50K,40-50%,41,51,Algeria,DZA,control,35,45,0,2
67,male,7 to 12,15K to 25K,10-20%,36,35,Algeria,DZA,control,26,34,0,2
28,male,0 to 6,15K to 25K,30-40%,54,50,Algeria,DZA,control,33,33,0,2
20,female,0 to 6,15K to 25K,50-60%,66,55,Algeria,DZA,control,46,39,0,3
66,female,13 to 16,25K to 50K,50-60%,51,46,Algeria,DZA,control,40,52,0,4
28,male,13 to 16,100K to 150K,0-10%,23,70,Algeria,DZA,control,32,50,0,3
28,male,13 to 16,15K to 25K,30-40%,49,42,Algeria,DZA,control,38,49,0,3
38,male,7 to 12,25K to 50K,30-40%,60,39,Algeria,DZA,control,32,53,0,2
22,male,13 to 16,15K to 25K,10-20%,23,55,Algeria,DZA,control,37,54,0,3
